ID,logFC,Pvalue
ZNF506,-1.491084599,0.174727973
DUSP12,-0.412144825,0.054834476
AACS,-0.74254873,3.92E-06
HSPB11,0.195159462,0.686445874
PHLPP1,0.600325818,0.609583441
WDR70,-0.13313414,0.128623211
BZW1,0.537181037,0.235379371
ME2,0.158729605,0.222345057
C5orf22,-0.23245777,0.221091916
MRPL22,0.329269683,0.3852806
GEMIN5,0.282797465,2.74E-05
GSK3B,-0.653740945,0.812884101
ITGB5,-0.396897513,0.297590852
ERC1,0.354373335,0.639601764
XPO1,0.193121279,0.000141404
RNF13,0.433307644,0.553082663
BCKDHB,0.140306905,0.637334102
KAT6A,0.010471854,0.89851468
ZCCHC6,0.484558882,0.881888888
TNPO1,2.187973454,0.000279916
PLOD1,-0.242750698,0.646620776
ITGAE,0.648207729,0.274233027
DIS3,0.837848542,0.001767139
PIBF1,-0.058242283,0.750818505
TDRD3,-1.036336764,0.695057262
PDS5B,1.056368716,0.04723618
OXCT1,-0.296404999,0.562662769
RPS5,0.429494408,0.993067345
FAT1,-1.007698569,0.003688503
YTHDC1,0.0883272,0.288242984
CHMP2B,0.954504671,0.550816763
SMAP2,-0.200254021,0.078965972
PPIE,-0.607505803,1.21E-05
ZMPSTE24,0.063017911,0.320783007
STARD7,-0.286608624,0.045977656
NOA1,-0.340846568,0.000292242
SSH1,-0.628725266,0.065943169
GSTP1,-0.347551952,0.010974837
APLP2,-0.064478007,0.129670708
WBP11,0.789203786,0.0034785
EIF3I,1.093026734,0.248863215
TXLNA,0.466432758,0.372315508
RAB10,-0.171113132,0.610188794
HADHA,0.280448684,0.063365416
CAD,0.13849507,0.015048136
